,description
991,"PACE, Chipotle Chunky Salsa equals 25.0 calories. Nutritionally, it includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 6.25 grams of sugars and 6.25 grams of carbohydrates."
992,"Jams and preserves, apricot delivers 242.0 calories. Nutritionally, it has 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00049 grams of iron. It also includes 43.4 grams of sugar and 64.4 grams of carbs."
993,"Butter, with salt, whipped reflects 718.0 calories. Nutritionally, it includes 78.0 grams of fat, 0.225 grams of cholesterol, and 5e-05 grams of iron, along with 0.06 grams of sugars and 2.87 grams of carbohydrates."
994,"Ham, cooked, smoked, honey amounts to 122.0 calories. It includes 2.4 grams of fat, 0.022 grams of cholesterol, and 0.00039 grams of iron, along with 0.0 grams of sugars and 7.27 grams of carbohydrates."
995,"Spaghetti, cooked, spinach tallies 130.0 calories. The nutritional profile includes 0.6 grams of fat, 0.0 grams of cholesterol, and 0.0010400000000000001 grams of iron, along with 0.0 grams of sugars and 26.15 grams of carbohydrates."
996,"Bockwurst, raw, veal, pork contributes 301.0 calories. Nutritionally, it has 26.0 grams of fat, 0.093 grams of cholesterol, and 0.00115 grams of iron, as well as 1.33 grams of sugars and 2.95 grams of carbohydrates."
997,"Guinea hen, raw, meat only displays 110.0 calories. Nutritionally, it includes 2.5 grams of fat, 0.063 grams of cholesterol, and 0.0007700000000000001 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
998,"Cookies, soft-type, raisin registers 401.0 calories. It contains 14.0 grams of fat, 0.002 grams of cholesterol, and 0.00229 grams of iron, as well as 47.56 grams of sugars and 68.0 grams of carbohydrates."
999,"Squash, raw, acorn, winter equals 40.0 calories. Nutritionally, it includes 0.1 grams of fat, 0.0 grams of cholesterol, and 0.0007 grams of iron, along with 0.0 grams of sugars and 10.42 grams of carbohydrates."
1000,"Candies, KIT KAT Wafer Bar produces 518.0 calories. It contains 26.0 grams of fat, 0.011 grams of cholesterol, and 0.001 grams of iron, as well as 48.68 grams of sugars and 64.59 grams of carbohydrates."
1001,"Peppers, raw, green, sweet tallies 20.0 calories. The nutritional profile includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00034 grams of iron, along with 2.4 grams of sugars and 4.64 grams of carbohydrates."
1002,"Turkey sausage, raw, fresh shows 155.0 calories. The nutritional breakdown includes 8.1 grams of fat, 0.075 grams of cholesterol, and 0.00117 grams of iron, along with 0.0 grams of sugars and 0.47 grams of carbohydrates."
1003,"DENNY'S, top sirloin steak yields 182.0 calories. Nutritionally, it includes 7.3 grams of fat, 0.082 grams of cholesterol, and 0.00327 grams of iron, along with 0.0 grams of sugars and 0.14 grams of carbohydrates."
1004,"Pomegranate juice, bottled is a food with 54.0 calories. It provides 0.3 grams of fat, 0.0 grams of cholesterol, and 0.0001 grams of iron. You can also find 12.65 grams of sugars and 13.13 grams of carbohydrates in it."
1005,"Nance, unsweetened, frozen offers 73.0 calories. The nutritional breakdown includes 1.2 grams of fat, 0.0 grams of cholesterol, and 0.00038 grams of iron, along with 8.31 grams of sugars and 16.97 grams of carbohydrates."
1006,"Sauce, sriracha, hot chile offers 93.0 calories. The nutritional breakdown includes 0.9 grams of fat, 0.0 grams of cholesterol, and 0.00164 grams of iron, along with 15.11 grams of sugars and 19.16 grams of carbohydrates."
1007,"Bread, toasted, wheat germ makes up 293.0 calories. The nutritional breakdown includes 3.3 grams of fat, 0.001 grams of cholesterol, and 0.0038799999999999998 grams of iron, along with 4.14 grams of sugars and 54.3 grams of carbohydrates."
1008,"Bread, kneel down (Navajo) accounts for 195.0 calories. Nutritionally, it contains 2.2 grams of fat, 0.0 grams of cholesterol, and 0.00111 grams of iron, along with 3.74 grams of sugars and 39.47 grams of carbohydrates."
1009,"Vegetable oil, palm kernel shows 862.0 calories. The nutritional breakdown includes 100.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
1010,"Fish, raw, chinook, salmon gives you 179.0 calories. It contains 10.0 grams of fat, 0.05 grams of cholesterol, and 0.00025 grams of iron. Additionally, it includes 0.0 grams of sugar and 0.0 grams of carbs."
1011,"Milk, fluid, mature, human contains 70.0 calories. In terms of nutrition, it has 4.4 grams of fat, 0.014 grams of cholesterol, and 2.9999999999999997e-05 grams of iron. Additionally, it includes 6.89 grams of sugar and 6.89 grams of carbs."
1012,"For 140.0 calories, Pork, pickled, feet, cured provides 10.0 grams of fat, 0.083 grams of cholesterol, 0.00031 grams of iron, 0.0 grams of sugars, and 0.01 grams of carbohydrates."
1013,"Canadian bacon, unprepared carries 110.0 calories. It has 2.6 grams of fat, 0.048 grams of cholesterol, and 0.00044 grams of iron, as well as 0.9 grams of sugars and 1.34 grams of carbohydrates."
1014,"Cake, dry mix, gingerbread equals 437.0 calories. Nutritionally, it includes 14.0 grams of fat, 0.0 grams of cholesterol, and 0.0047 grams of iron, along with 46.62 grams of sugars and 74.6 grams of carbohydrates."
1015,"BURGER KING, Vanilla Shake has 168.0 calories. It contains 8.7 grams of fat, 0.031 grams of cholesterol, 0.00041999999999999996 grams of iron, 11.67 grams of sugars, and 19.03 grams of carbohydrates."
1016,"Cheese, shredded, parmesan is a food with 415.0 calories. It provides 27.0 grams of fat, 0.072 grams of cholesterol, and 0.00087 grams of iron. You can also find 0.9 grams of sugars and 3.41 grams of carbohydrates in it."
1017,"Pumpkin, with salt, canned serves up 34.0 calories. Nutritionally, it contains 0.3 grams of fat, 0.0 grams of cholesterol, and 0.00139 grams of iron, along with 3.3 grams of sugars and 8.09 grams of carbohydrates."
1018,"KEEBLER, Crackers, ANIMALS displays 450.0 calories. Nutritionally, it includes 14.0 grams of fat, 0.0 grams of cholesterol, and 0.0033 grams of iron, along with 25.4 grams of sugars and 75.3 grams of carbohydrates."
1019,"The food item Game meat, raw, wild, boar provides 122.0 calories. You can find 3.3 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron. It also contains 0.0 grams of sugars and 0.0 grams of carbohydrates."
1020,"Rolls, whole-wheat, dinner is a food with 266.0 calories. It provides 4.7 grams of fat, 0.0 grams of cholesterol, and 0.00242 grams of iron. You can also find 8.46 grams of sugars and 51.1 grams of carbohydrates in it."
1021,"Cheese, nonfat, mozzarella packs 141.0 calories. It has 0.0 grams of fat, 0.018 grams of cholesterol, and 0.00031 grams of iron, as well as 1.48 grams of sugars and 3.5 grams of carbohydrates."
1022,"KFC, Crispy Chicken Strips produces 274.0 calories. It contains 15.0 grams of fat, 0.051 grams of cholesterol, and 0.00069 grams of iron, as well as 0.0 grams of sugars and 13.66 grams of carbohydrates."
1023,"Ice creams, light, vanilla reveals 180.0 calories. It contains 4.8 grams of fat, 0.027 grams of cholesterol, and 0.00019 grams of iron, as well as 22.12 grams of sugars and 29.46 grams of carbohydrates."
1024,"The food item Ostrich, raw, inside strip provides 127.0 calories. You can find 2.9 grams of fat, 0.073 grams of cholesterol, and 0.004200000000000001 grams of iron. It also contains 0.0 grams of sugars and 0.0 grams of carbohydrates."
1025,"SILK Very Vanilla, soymilk features 53.0 calories. The nutritional profile includes 1.7 grams of fat, 0.0 grams of cholesterol, and 0.00044 grams of iron, along with 6.58 grams of sugars and 7.82 grams of carbohydrates."
1026,"Fish, raw, sockeye, salmon carries 131.0 calories. It has 4.7 grams of fat, 0.051 grams of cholesterol, and 0.00043 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
1027,"Fast foods, scrambled, egg accounts for 212.0 calories. Nutritionally, it contains 16.0 grams of fat, 0.426 grams of cholesterol, and 0.00259 grams of iron, along with 1.64 grams of sugars and 2.08 grams of carbohydrates."
1028,"Snacks, salted, pita chips reveals 457.0 calories. It contains 15.0 grams of fat, 0.0 grams of cholesterol, and 0.0045899999999999995 grams of iron, as well as 4.76 grams of sugars and 68.26 grams of carbohydrates."
1029,"Taro, without salt, cooked demonstrates 142.0 calories. The nutritional content includes 0.1 grams of fat, 0.0 grams of cholesterol, and 0.0007199999999999999 grams of iron, along with 0.49 grams of sugars and 34.6 grams of carbohydrates."
1030,"Bratwurst, cooked, chicken has 176.0 calories. It contains 10.0 grams of fat, 0.071 grams of cholesterol, 0.00087 grams of iron, 0.0 grams of sugars, and 0.0 grams of carbohydrates."
1031,"Gravy, chicken, CAMPBELL'S shows 51.0 calories. The nutritional breakdown includes 2.7 grams of fat, 0.006 grams of cholesterol, and 0.00011999999999999999 grams of iron, along with 0.94 grams of sugars and 5.87 grams of carbohydrates."
1032,"Fast foods, mashed, potato accounts for 89.0 calories. Nutritionally, it contains 2.8 grams of fat, 0.0 grams of cholesterol, and 0.00031 grams of iron, along with 0.5 grams of sugars and 14.65 grams of carbohydrates."
1033,"OSCAR MAYER, Salami (hard) demonstrates 368.0 calories. The nutritional content includes 29.0 grams of fat, 0.097 grams of cholesterol, and 0.00183 grams of iron, along with 0.2 grams of sugars and 1.6 grams of carbohydrates."
1034,"Gravy, dry, instant turkey serves up 409.0 calories. Nutritionally, it contains 15.0 grams of fat, 0.024 grams of cholesterol, and 0.00957 grams of iron, along with 7.6 grams of sugars and 57.56 grams of carbohydrates."
1035,"Sorghum flour, whole-grain supplies 359.0 calories. Nutritionally, it includes 3.3 grams of fat, 0.0 grams of cholesterol, and 0.00314 grams of iron, along with 1.94 grams of sugars and 76.64 grams of carbohydrates."
1036,"Milk shakes, thick vanilla contains 112.0 calories. It has 3.0 grams of fat, 0.012 grams of cholesterol, and 0.0001 grams of iron, plus 17.75 grams of sugars and 17.75 grams of carbohydrates."
1037,"MOTHER'S, Macaroon Cookies offers 552.0 calories. The nutritional breakdown includes 34.0 grams of fat, 0.003 grams of cholesterol, and 0.0024 grams of iron, along with 25.4 grams of sugars and 55.7 grams of carbohydrates."
1038,"PACE, Thick & Chunky Salsa comprises 25.0 calories. It includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 6.25 grams of sugars and 6.25 grams of carbohydrates."
1039,"Egg, omelet, cooked, whole serves up 154.0 calories. Nutritionally, it contains 12.0 grams of fat, 0.313 grams of cholesterol, and 0.00148 grams of iron, along with 0.31 grams of sugars and 0.64 grams of carbohydrates."
1040,"Java-plum, raw, (jambolan) exhibits 60.0 calories. It contains 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00019 grams of iron, as well as 0.0 grams of sugars and 15.56 grams of carbohydrates."
1041,"Snacks, regular, trail mix has 462.0 calories. It contains 29.0 grams of fat, 0.0 grams of cholesterol, 0.0030499999999999998 grams of iron, 0.0 grams of sugars, and 44.9 grams of carbohydrates."
1042,"Puddings, dry mix, tapioca registers 369.0 calories. It contains 0.1 grams of fat, 0.0 grams of cholesterol, and 0.00011999999999999999 grams of iron, as well as 65.0 grams of sugars and 94.3 grams of carbohydrates."
1043,"Dip, original flavor, bean packs 119.0 calories. It has 3.7 grams of fat, 0.0 grams of cholesterol, and 0.0016 grams of iron, as well as 0.99 grams of sugars and 15.89 grams of carbohydrates."
1044,"SWANSON, Chicken A La King offers 71.0 calories. The nutritional breakdown includes 4.0 grams of fat, 0.007 grams of cholesterol, and 0.0 grams of iron, along with 0.67 grams of sugars and 4.03 grams of carbohydrates."
1045,"McDONALD'S, Barbeque Sauce produces 165.0 calories. It contains 1.2 grams of fat, 0.0 grams of cholesterol, and 0.0004 grams of iron, as well as 34.31 grams of sugars and 36.93 grams of carbohydrates."
1046,"Pasta, cooked, whole-wheat holds 149.0 calories. It contains 1.7 grams of fat, 0.0 grams of cholesterol, and 0.00172 grams of iron, along with 0.75 grams of sugars and 30.07 grams of carbohydrates."
1047,"Sauce, tomato based, steak tallies 95.0 calories. The nutritional profile includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.0013700000000000001 grams of iron, along with 9.82 grams of sugars and 22.04 grams of carbohydrates."
1048,"The food named Mushrooms, dried, shiitake has 296.0 calories. It contains 1.0 grams of fat, 0.0 grams of cholesterol, 0.00172 grams of iron, 2.21 grams of sugar, and 75.37 grams of carbohydrates."
1049,"The food named Cream substitute, powdered has 529.0 calories. It contains 33.0 grams of fat, 0.0 grams of cholesterol, 0.00026000000000000003 grams of iron, 7.77 grams of sugar, and 59.29 grams of carbohydrates."
1050,"Carissa, raw, (natal-plum) supplies 62.0 calories. Nutritionally, it includes 1.3 grams of fat, 0.0 grams of cholesterol, and 0.00131 grams of iron, along with 0.0 grams of sugars and 13.63 grams of carbohydrates."
1051,"Beverages, chocolate syrup carries 279.0 calories. It has 1.1 grams of fat, 0.0 grams of cholesterol, and 0.00211 grams of iron, as well as 49.65 grams of sugars and 65.1 grams of carbohydrates."
1052,"Mayonnaise, made with tofu supplies 322.0 calories. Nutritionally, it includes 32.0 grams of fat, 0.0 grams of cholesterol, and 0.00027 grams of iron, along with 0.85 grams of sugars and 3.06 grams of carbohydrates."
1053,"Frankfurter, low fat, beef is a food with 233.0 calories. It provides 9.5 grams of fat, 0.04 grams of cholesterol, and 0.00115 grams of iron. You can also find 0.85 grams of sugars and 1.6 grams of carbohydrates in it."
1054,"Babyfood, toddler, carrots makes up 26.0 calories. The nutritional breakdown includes 0.3 grams of fat, 0.0 grams of cholesterol, and 0.0002 grams of iron, along with 2.5 grams of sugars and 5.23 grams of carbohydrates."
1055,"The food item Snacks, plain, bagel chips provides 451.0 calories. You can find 15.0 grams of fat, 0.0 grams of cholesterol, and 0.00505 grams of iron. It also contains 6.02 grams of sugars and 66.36 grams of carbohydrates."
1056,"SILK Strawberry soy yogurt accounts for 94.0 calories. Nutritionally, it contains 1.2 grams of fat, 0.0 grams of cholesterol, and 0.00064 grams of iron, along with 12.94 grams of sugars and 18.24 grams of carbohydrates."
1057,"In Fish, raw, american, shad, you get 197.0 calories. The nutritional content includes 14.0 grams of fat, 0.075 grams of cholesterol, and 0.0009699999999999999 grams of iron. There are also 0.0 grams of sugar and 0.0 grams of carbs."
1058,"Fish, raw, rainbow, smelt reveals 97.0 calories. It contains 2.4 grams of fat, 0.07 grams of cholesterol, and 0.0009 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
1059,"Bread, unenriched, raisin offers 274.0 calories. The nutritional breakdown includes 4.4 grams of fat, 0.0 grams of cholesterol, and 0.00183 grams of iron, along with 0.0 grams of sugars and 52.3 grams of carbohydrates."
1060,"Cheese, low sodium, swiss exhibits 374.0 calories. It contains 27.0 grams of fat, 0.092 grams of cholesterol, and 0.00017 grams of iron, as well as 1.31 grams of sugars and 3.4 grams of carbohydrates."
1061,"Bagels, whole grain white is a food with 255.0 calories. It provides 0.0 grams of fat, 0.0 grams of cholesterol, and 0.00419 grams of iron. You can also find 9.3 grams of sugars and 54.52 grams of carbohydrates in it."
1062,"Ice cream cookie sandwich exhibits 240.0 calories. It contains 7.4 grams of fat, 0.006 grams of cholesterol, and 0.0011 grams of iron, as well as 21.3 grams of sugars and 39.6 grams of carbohydrates."
